company_name,slug,rating,profile_url
TCS,tcs,3.3,https://www.ambitionbox.com/reviews/tcs-reviews
Accenture,accenture,3.7,https://www.ambitionbox.com/reviews/accenture-reviews
Wipro,wipro,3.6,https://www.ambitionbox.com/reviews/wipro-reviews
Cognizant,cognizant,3.7,https://www.ambitionbox.com/reviews/cognizant-reviews
Capgemini,capgemini,3.6,https://www.ambitionbox.com/reviews/capgemini-reviews
Infosys,infosys,3.5,https://www.ambitionbox.com/reviews/infosys-reviews
HCLTech,hcl-technologies,3.4,https://www.ambitionbox.com/reviews/hcl-technologies-reviews
Tech Mahindra,tech-mahindra,3.3,https://www.ambitionbox.com/reviews/tech-mahindra-reviews
LTIMindtree,ltimindtree,3.6,https://www.ambitionbox.com/reviews/ltimindtree-reviews
IBM,ibm,3.9,https://www.ambitionbox.com/reviews/ibm-reviews
WNS,wns,3.3,https://www.ambitionbox.com/reviews/wns-reviews
DXC Technology,dxc-technology,3.6,https://www.ambitionbox.com/reviews/dxc-technology-reviews
Digitide Solutions,conneqt-business-solutions,3.5,https://www.ambitionbox.com/reviews/conneqt-business-solutions-reviews
Mphasis,mphasis,3.3,https://www.ambitionbox.com/reviews/mphasis-reviews
Optum Global Solutions,optum-global-solutions,4.0,https://www.ambitionbox.com/reviews/optum-global-solutions-reviews
Coforge,coforge,3.3,https://www.ambitionbox.com/reviews/coforge-reviews
Hexaware Technologies,hexaware-technologies,3.4,https://www.ambitionbox.com/reviews/hexaware-technologies-reviews
L&T Technology Services,l-and-t-technology-services,3.1,https://www.ambitionbox.com/reviews/l-and-t-technology-services-reviews
eClerx,eclerx,3.1,https://www.ambitionbox.com/reviews/eclerx-reviews
Virtusa Consulting Services,virtusa-consulting-services,3.7,https://www.ambitionbox.com/reviews/virtusa-consulting-services-reviews
HCL Group,hcl,3.5,https://www.ambitionbox.com/reviews/hcl-reviews
GlobalLogic,globallogic,3.5,https://www.ambitionbox.com/reviews/globallogic-reviews
UST,ust,3.7,https://www.ambitionbox.com/reviews/ust-reviews
Bosch Global Software Technologies,bosch-global-software-technologies,3.7,https://www.ambitionbox.com/reviews/bosch-global-software-technologies-reviews
CGI Inc,cgi-inc,4.0,https://www.ambitionbox.com/reviews/cgi-inc-reviews
Cyient,cyient,3.6,https://www.ambitionbox.com/reviews/cyient-reviews
NTT DATA,ntt-data,3.8,https://www.ambitionbox.com/reviews/ntt-data-reviews
Persistent Systems,persistent-systems,3.6,https://www.ambitionbox.com/reviews/persistent-systems-reviews
Atos,atos-global-it-solutions-and-services,3.8,https://www.ambitionbox.com/reviews/atos-global-it-solutions-and-services-reviews
ITC Infotech,itc-infotech-india,3.8,https://www.ambitionbox.com/reviews/itc-infotech-india-reviews
Nagarro,nagarro,3.9,https://www.ambitionbox.com/reviews/nagarro-reviews
Eviden,eviden,3.6,https://www.ambitionbox.com/reviews/eviden-reviews
EY Global Delivery Services ( EY GDS),eygbs,3.5,https://www.ambitionbox.com/reviews/eygbs-reviews
Hewlett Packard Enterprise,hewlett-packard-enterprise,4.0,https://www.ambitionbox.com/reviews/hewlett-packard-enterprise-reviews
Carelon Global Solutions,carelon-global-solutions,3.9,https://www.ambitionbox.com/reviews/carelon-global-solutions-reviews
Publicis Sapient,publicis-sapient,3.2,https://www.ambitionbox.com/reviews/publicis-sapient-reviews
Kyndryl,kyndryl,4.0,https://www.ambitionbox.com/reviews/kyndryl-reviews
Birlasoft,birlasoft,3.4,https://www.ambitionbox.com/reviews/birlasoft-reviews
Synechron,synechron,3.4,https://www.ambitionbox.com/reviews/synechron-reviews
"NTT DATA, Inc.",ntt-data-inc,3.9,https://www.ambitionbox.com/reviews/ntt-data-inc-reviews
Societe Generale Global Solution Centre,societe-generale,3.6,https://www.ambitionbox.com/reviews/societe-generale-reviews
Quest Global,quest-global,3.5,https://www.ambitionbox.com/reviews/quest-global-reviews
Tata Elxsi,tata-elxsi,3.4,https://www.ambitionbox.com/reviews/tata-elxsi-reviews
Zensar Technologies,zensar-technologies,3.7,https://www.ambitionbox.com/reviews/zensar-technologies-reviews
CMS IT Services,cms-it-services,3.1,https://www.ambitionbox.com/reviews/cms-it-services-reviews
Fujitsu,fujitsu,3.8,https://www.ambitionbox.com/reviews/fujitsu-reviews
VVDN Technologies,vvdn-technologies,3.6,https://www.ambitionbox.com/reviews/vvdn-technologies-reviews
Movate,movate,3.1,https://www.ambitionbox.com/reviews/movate-reviews
Photon Interactive,photon-interactive,4.1,https://www.ambitionbox.com/reviews/photon-interactive-reviews
Datamatics Global Services,datamatics-global-services,3.4,https://www.ambitionbox.com/reviews/datamatics-global-services-reviews
